"Direction","InterfaceName","DataType","Group","RefBlock","InternalSymbol","Description","Note","ItemCount"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_Brakepump_Rely_state","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_Brakepump_Rely_state","Veh_1_B.VCar_Inport_bn","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_CC_and_PP_state","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_CC_and_PP_state","Veh_1_B.VCar_Inport_fxj","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_CP_Stage","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_CP_Stage","Veh_1_B.VCar_Inport_pn","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_Drive_mode","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_Drive_mode","Veh_1_B.VCar_Inport_l4","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_Geaeral_CAN1_Counter","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_Geaeral_CAN1_Counter","Veh_1_B.VCar_Inport_j2p","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_Geer_Positon","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_Geer_Positon","Veh_1_B.VCar_Inport_i","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_HVBox_state","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_HVBox_state","Veh_1_B.VCar_Inport_c0c","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_Key_Position","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_Key_Position","Veh_1_B.VCar_Inport_oq","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_MCVCC_state","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_MCVCC_state","Veh_1_B.VCar_Inport_jf","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_OBCVCC_state","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_OBCVCC_state","Veh_1_B.VCar_Inport_h","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_powersystem_Error","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_powersystem_Error","Veh_1_B.VCar_Inport_ke","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_vacuum_degree","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_vacuum_degree","Veh_1_B.VCar_Inport_p2","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_Vehicle_status","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_Geaeral_CAN1/VCU_Vehicle_status","Veh_1_B.VCar_Inport_l","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_SpdCtrl.VCU_MC_SpdCtrl_Checksum","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_SpdCtrl/VCU_MC_SpdCtrl_Checksum","Veh_1_B.VCar_Inport_lg5","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_SpdCtrl.VCU_MC_SpdCtrl_Counter","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_SpdCtrl/VCU_MC_SpdCtrl_Counter","Veh_1_B.VCar_Inport_dfe","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_SpdCtrl.VCU_MC_target_Maxspeed","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_SpdCtrl/VCU_MC_target_Maxspeed","Veh_1_B.VCar_Inport_bsd","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_SpdCtrl.VCU_MC_target_speed","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_SpdCtrl/VCU_MC_target_speed","Veh_1_B.VCar_Inport_ez","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_MC_Contron_mode","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_TrqCtrl/VCU_MC_Contron_mode","Veh_1_B.VCar_Inport_g","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_MC_enable","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_TrqCtrl/VCU_MC_enable","Veh_1_B.VCar_Inport_ln","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_MC_ratateDirection","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_TrqCtrl/VCU_MC_ratateDirection","Veh_1_B.VCar_Inport_pt","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_MC_target_state","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_TrqCtrl/VCU_MC_target_state","Veh_1_B.VCar_Inport_hcd","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_MC_TrqCtrl_Checksum","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_TrqCtrl/VCU_MC_TrqCtrl_Checksum","Veh_1_B.VCar_Inport_fr4","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_MC_TrqCtrl_Counter","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_TrqCtrl/VCU_MC_TrqCtrl_Counter","Veh_1_B.VCar_Inport_hp5","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_Target_output_MaxTorque","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_TrqCtrl/VCU_Target_output_MaxTorque","Veh_1_B.VCar_Inport_lk","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_Target_output_Torque","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_TrqCtrl/VCU_Target_output_Torque","Veh_1_B.VCar_Inport_ca","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_OBC_Ctrl.VCU_Charge_Enable","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_OBC_Ctrl/VCU_Charge_Enable","Veh_1_B.VCar_Inport_ndz","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_OBC_Ctrl.VCU_Max_ChargeCable","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_OBC_Ctrl/VCU_Max_ChargeCable","Veh_1_B.VCar_Inport_il4","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_OBC_Ctrl.VCU_Max_ChgPile_out_current","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_OBC_Ctrl/VCU_Max_ChgPile_out_current","Veh_1_B.VCar_Inport_ise","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_OBC_Ctrl.VCU_OBC_Ctrl_Counter","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_OBC_Ctrl/VCU_OBC_Ctrl_Counter","Veh_1_B.VCar_Inport_c0zb","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VCU_OBC_Ctrl.VCU_OBC_target_state","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VCU_OBC_Ctrl/VCU_OBC_target_state","Veh_1_B.VCar_Inport_jmr","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VersionRep.Hardware_major_version_number","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VersionRep/Hardware_major_version_number","Veh_1_B.VCar_Inport_lx","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VersionRep.Hardware_minor_version_number","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VersionRep/Hardware_minor_version_number","Veh_1_B.VCar_Inport_nalg","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VersionRep.Software_major_version_number","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VersionRep/Software_major_version_number","Veh_1_B.VCar_Inport_o3","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Power.VersionRep.Software_minor_version_number","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Power/VersionRep/Software_minor_version_number","Veh_1_B.VCar_Inport_et","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch1_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch1_On_Off_Status","Veh_1_B.VCar_Inport_mk","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch10_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch10_On_Off_Status","Veh_1_B.VCar_Inport_ksx","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch11_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch11_On_Off_Status","Veh_1_B.VCar_Inport_pp","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch12_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch12_On_Off_Status","Veh_1_B.VCar_Inport_o0","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch13_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch13_On_Off_Status","Veh_1_B.VCar_Inport_mq","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch14_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch14_On_Off_Status","Veh_1_B.VCar_Inport_cv","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch15_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch15_On_Off_Status","Veh_1_B.VCar_Inport_au","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch16_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch16_On_Off_Status","Veh_1_B.VCar_Inport_jd","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch17_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch17_On_Off_Status","Veh_1_B.VCar_Inport_f4","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch18_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch18_On_Off_Status","Veh_1_B.VCar_Inport_gw","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch19_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch19_On_Off_Status","Veh_1_B.VCar_Inport_eh","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch2_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch2_On_Off_Status","Veh_1_B.VCar_Inport_pq","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch20_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch20_On_Off_Status","Veh_1_B.VCar_Inport_hew","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch21_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch21_On_Off_Status","Veh_1_B.VCar_Inport_cvb","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch22_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch22_On_Off_Status","Veh_1_B.VCar_Inport_ls","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch23_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch23_On_Off_Status","Veh_1_B.VCar_Inport_car","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch24_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch24_On_Off_Status","Veh_1_B.VCar_Inport_pa","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch25_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch25_On_Off_Status","Veh_1_B.VCar_Inport_ml","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch26_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch26_On_Off_Status","Veh_1_B.VCar_Inport_lsx","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch27_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch27_On_Off_Status","Veh_1_B.VCar_Inport_ky","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch28_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch28_On_Off_Status","Veh_1_B.VCar_Inport_ol","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch29_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch29_On_Off_Status","Veh_1_B.VCar_Inport_k1l","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch3_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch3_On_Off_Status","Veh_1_B.VCar_Inport_d4w","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch30_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch30_On_Off_Status","Veh_1_B.VCar_Inport_fu5","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch31_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch31_On_Off_Status","Veh_1_B.VCar_Inport_k0","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch32_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch32_On_Off_Status","Veh_1_B.VCar_Inport_eiz","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch33_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch33_On_Off_Status","Veh_1_B.VCar_Inport_eq","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch34_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch34_On_Off_Status","Veh_1_B.VCar_Inport_p1z","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch35_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch35_On_Off_Status","Veh_1_B.VCar_Inport_nr","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch36_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch36_On_Off_Status","Veh_1_B.VCar_Inport_jw","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch4_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch4_On_Off_Status","Veh_1_B.VCar_Inport_ef","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch5_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch5_On_Off_Status","Veh_1_B.VCar_Inport_op","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch6_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch6_On_Off_Status","Veh_1_B.VCar_Inport_ds","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch7_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch7_On_Off_Status","Veh_1_B.VCar_Inport_cg","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch8_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch8_On_Off_Status","Veh_1_B.VCar_Inport_kyu","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.Digital Input.Y_DI_Ch9_On_Off_Status","Double","Digital input","Veh_1/FromVCU/HW/Digital Input/Y_DI_Ch9_On_Off_Status","Veh_1_B.VCar_Inport_cpf","","Discrete hardware feedback; inject toggling, stuck, or inconsistent states.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch1_PWM_In_Amplitude","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch1_PWM_In_Amplitude","Veh_1_B.VCar_Inport_bio","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch1_PWM_In_Duty_Ratio","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch1_PWM_In_Duty_Ratio","Veh_1_B.VCar_Inport_ek","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch1_PWM_In_Frequency","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch1_PWM_In_Frequency","Veh_1_B.VCar_Inport_jex","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch10_PWM_In_Amplitude","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch10_PWM_In_Amplitude","Veh_1_B.VCar_Inport_ck","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch10_PWM_In_Duty_Ratio","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch10_PWM_In_Duty_Ratio","Veh_1_B.VCar_Inport_ps","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch10_PWM_In_Frequency","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch10_PWM_In_Frequency","Veh_1_B.VCar_Inport_nh2","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch11_PWM_In_Amplitude","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch11_PWM_In_Amplitude","Veh_1_B.VCar_Inport_c3","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch11_PWM_In_Duty_Ratio","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch11_PWM_In_Duty_Ratio","Veh_1_B.VCar_Inport_obj","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch11_PWM_In_Frequency","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch11_PWM_In_Frequency","Veh_1_B.VCar_Inport_hg","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch12_PWM_In_Amplitude","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch12_PWM_In_Amplitude","Veh_1_B.VCar_Inport_by","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch12_PWM_In_Duty_Ratio","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch12_PWM_In_Duty_Ratio","Veh_1_B.VCar_Inport_mjs","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch12_PWM_In_Frequency","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch12_PWM_In_Frequency","Veh_1_B.VCar_Inport_oi","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch13_PWM_In_Amplitude","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch13_PWM_In_Amplitude","Veh_1_B.VCar_Inport_oqy","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch13_PWM_In_Duty_Ratio","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch13_PWM_In_Duty_Ratio","Veh_1_B.VCar_Inport_dqm","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch13_PWM_In_Frequency","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch13_PWM_In_Frequency","Veh_1_B.VCar_Inport_kpv","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch14_PWM_In_Amplitude","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch14_PWM_In_Amplitude","Veh_1_B.VCar_Inport_bin","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch14_PWM_In_Duty_Ratio","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch14_PWM_In_Duty_Ratio","Veh_1_B.VCar_Inport_ar","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
"Input","Veh_1.FromVCU.HW.PWM Input.Y_Ch14_PWM_In_Frequency","Double","PWM input","Veh_1/FromVCU/HW/PWM Input/Y_Ch14_PWM_In_Frequency","Veh_1_B.VCar_Inport_hu","","PWM feedback tuple (amplitude, duty ratio, frequency); inject timing/value anomalies.","1"
